maxint,minint,meanint,maxf1,meanf1,maxf2,meanf2,maxf0,minf0,meanf0,jitter,shimmer,maxhnr,minhnr,meanhnr,dx
83.10714905,0.701774508,71.62101578,3014.834933,868.4997068,3756.579408,2040.302066,546.1096334,68.93863668,202.9962801,0.006902482,0.107001983,49.01512619,-227.0097682,7.862729944,0
80.9027916,29.27462866,70.39352326,2666.360196,706.54609,3634.204839,1916.391541,439.4644424,77.27764509,194.7289544,0.008792233,0.109889024,45.00762082,-227.0180169,7.192017362,0
80.14365198,-3.174013873,67.03946582,2885.686956,842.7357806,3989.064359,2031.146357,593.680554,79.65859903,131.8747987,0.015156321,0.140330334,43.37743283,-227.0656651,9.547458805,0
83.48628928,-7.259090759,72.42685879,2660.817066,624.2119873,4023.96066,1793.285586,578.1083757,84.32523053,118.076039,0.015480061,0.137652588,40.9005379,-226.9198334,9.514304895,0
79.56033769,-1.406636877,67.92785063,2932.100649,899.2690953,4012.215527,2110.104744,582.5447459,67.82777872,151.7925773,0.010920015,0.103245552,40.96659245,-226.5904966,6.941801975,1
81.72147518,34.73394075,66.14613577,2201.509783,738.4926647,3386.244936,1789.681617,599.2805817,101.2012791,143.8746093,0.008906214,0.12749625,39.8301889,-227.1114621,6.483011608,1
83.75307974,27.81312597,70.76075868,2632.772721,906.2255393,3825.194289,2001.740829,584.7985992,84.33234662,124.9476921,0.011480316,0.122926245,45.93772478,-227.656678,6.965790688,1
84.05100362,39.85997539,67.52287273,3029.111042,826.7372218,3411.313528,2100.348411,597.0562754,69.04674657,245.3676827,0.008820598,0.144814265,46.34295653,-227.1401914,9.89975603,1
84.92693147,21.09902789,71.22448041,3182.867865,693.5207115,3810.371693,1991.681136,599.94782,73.39504425,198.5919566,0.010454244,0.132761631,41.61824902,-226.9176728,10.46818649,1
82.96398803,0.085984494,70.76102471,2515.881601,754.7810778,3979.453549,2031.445862,589.326395,82.38901989,202.2475428,0.005614182,0.134721218,42.35127145,-226.7278064,8.93321445,1
85.67293338,-1.379703698,65.60709649,2336.695533,733.7105051,3339.056001,1837.205555,174.4108118,75.91126558,111.4963628,0.008818045,0.101624389,47.92811776,-227.6831394,11.61344797,1
79.8499974,45.42663936,69.16363709,2734.400767,837.7047653,3473.278029,1992.304299,597.3588804,78.20175325,233.5465912,0.008059287,0.135185024,46.68515203,-226.9248924,6.420692746,1
81.14449613,-1.446460545,66.89788909,2917.237616,819.5690493,4020.504061,2011.425822,507.7219555,80.6018062,127.8486866,0.010002781,0.139960114,42.49118432,-226.9920634,6.568366255,1
84.74872907,40.39277617,73.24267381,2710.145377,973.2206109,3978.102058,2154.362394,584.6641591,140.1842836,189.4930309,0.006098882,0.090404375,39.32572408,-227.1124896,8.142336983,1
85.28972973,-0.945148107,69.46094762,2784.642492,791.1269204,3980.892288,2045.503917,604.9185806,121.0966623,217.6954779,0.00719166,0.096844909,45.10974102,-227.2686486,9.427091422,1
84.60451659,49.64744582,74.19794698,2509.253625,803.827426,4114.057759,1987.795763,179.9319131,82.24575935,134.149258,0.01116252,0.13084896,56.30850046,-226.6155882,9.624392509,1
84.012045,19.12878496,72.79338369,3021.187921,685.9738384,3904.414329,1928.089585,597.9925185,77.44536234,144.1644746,0.013856251,0.152275262,40.92220671,-226.5418705,7.615765264,1
81.6658519,17.9979989,70.75573886,3060.706846,711.415434,4044.457787,1985.262696,564.7946978,66.66953022,201.4333834,0.008571413,0.117464545,47.35157886,-227.4302006,8.788925483,1
81.34611488,-2.29517561,68.07333258,3304.761611,932.6870046,3993.816248,2027.182374,538.1458769,68.44459922,178.8502144,0.009305333,0.151233439,40.53706258,-226.6276152,5.587910754,1
83.89880815,-6.593574916,67.93977869,2943.89943,860.6040491,3972.798728,1811.869084,596.9978428,72.00213426,191.2846486,0.01135482,0.20551436,37.85669477,-226.5521687,4.370001813,1
83.4961244,28.45491822,69.82466728,2775.91283,704.6569067,3961.59382,1882.400256,599.4558733,69.35858326,196.7390457,0.01104311,0.129023739,39.47812081,-226.7192864,8.308332763,1
86.18524928,-6.019570238,74.505694,2864.719815,1045.211353,3868.852204,2185.614895,609.3123913,97.90941429,146.4893332,0.011374252,0.125903277,49.54118869,-227.9466006,7.289637967,1
81.41584564,-1.109299169,68.62778,2737.931135,780.6413557,3972.635771,1966.255168,520.3556691,68.25410237,204.1957577,0.008569374,0.091585227,46.94099065,-227.2397685,10.4082229,1
81.89283861,-3.748109852,69.21760769,2723.769081,923.4796837,3768.656158,2133.165135,218.1480014,78.14963889,117.6686115,0.014139144,0.111715821,42.57768345,-227.0433959,7.896624872,1
