maxint,minint,meanint,maxf1,minf1,meanf1,maxf2,minf2,meanf2,maxf0,minf0,meanf0,jitter,shimmer,maxhnr,minhnr,meanhnr,dx
77.58874098,45.93964418,71.49643766,1293.099708,325.4256986,708.2147715,3160.490897,503.1427157,2259.916786,193.2376191,123.9138119,154.3494071,0.018036109,0.129410185,13.1638637,-225.78681,7.081398464,0
78.50183433,51.44891394,73.4671388,2056.563816,362.4557751,812.9225887,3396.476912,1252.178902,2456.437485,202.8346837,176.2374795,185.0232187,0.012581723,0.10018845,14.23132329,-226.018947,5.197195948,0
77.14397624,49.0129654,72.5448473,1262.394164,180.7399598,628.763695,3136.581484,1013.264854,2255.676817,193.3868689,164.659184,175.5090739,0.010088886,0.132899044,37.46034718,-200.0164022,8.206475419,0
78.68076626,45.94096444,71.66404102,1611.597781,172.5859475,788.2798783,2758.532827,963.8765107,1721.014152,206.9779026,166.2360545,185.5343475,0.010068684,0.102316939,30.09548279,-226.0686453,8.087062241,0
78.66517887,46.91972044,73.84886033,1653.373398,258.6051405,641.0765852,3176.96144,278.0083935,2287.203097,220.8102089,185.3638569,202.0262667,0.007380961,0.116379964,21.45920714,-225.3140027,13.00419764,0
77.83726236,46.33485991,72.27329297,1369.943689,300.8480676,535.9947452,3129.851334,488.9206351,1720.590639,172.7533354,153.7117522,161.2869878,0.005778309,0.108502788,41.17512959,-226.9093425,14.34563061,0
75.04289802,59.11169588,71.19029064,1656.848018,181.9756501,599.1379389,3651.651081,831.5986553,2081.953982,201.0030664,74.83405993,141.8285557,0.027890462,0.184930107,14.48275392,-226.1725591,7.708425213,0
75.41854527,47.64102726,70.80053788,1315.761471,303.3182773,505.6838186,3044.466264,982.7050337,2032.520953,180.9332499,152.807126,166.8419887,0.004747427,0.088448457,26.32346373,-226.7011611,18.21718115,0
81.47166415,46.00167914,77.40282286,1219.2812,339.5354706,607.6061022,2647.361818,568.4268489,1659.62604,166.3421897,152.7176309,162.1857364,0.00418114,0.133117162,38.28940973,-225.6347168,13.41107896,0
79.04283303,46.21336371,72.88792629,1877.729219,131.9719478,860.0489475,3572.134287,707.1108877,1984.203272,174.584956,131.583965,143.749509,0.009180031,0.168919888,13.21615384,-226.2330084,8.626948379,0
